"Hashtags","Posts","Search Volume (Average)","Search Volume (Jun 2022)","Search Volume (Jul 2022)","Search Volume (Aug 2022)","Search Volume (Sep 2022)","Search Volume (Oct 2022)","Search Volume (Nov 2022)","Search Volume (Dec 2022)","Search Volume (Jan 2023)","Search Volume (Feb 2023)","Search Volume (Mar 2023)","Search Volume (Apr 2023)","Search Volume (May 2023)","Trend","Average CPC (USD)","Competition"
"#learnwithinstagram","86790","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnit","86566","90","120","90","90","120","90","60","60","90","90","90","120","120","0","1.7","8"
"#learningart","86268","120","90","60","120","60","120","90","180","180","60","140","140","120","33","0.52","23"
"#learndesign","85134","90","90","120","60","90","90","90","90","120","50","60","60","50","-44","0","14"
"#learnwithfun","82789","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnanewskill","81680","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnoninstagram","81262","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learn4life","79658","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learningapp","79488","90","60","30","40","140","120","120","30","120","180","90","60","60","0","0","0"
"#learningactivities","78630","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnfilmmaking","77702","120","90","90","90","140","90","120","120","60","60","180","120","120","33","0","57"
"#learnlanguage","77630","620","620","1100","620","500","500","410","620","620","620","620","500","620","0","2.02","26"
"#learntrading","77524","760","620","620","920","760","760","760","1100","920","760","760","760","920","48","12.8","57"
"#learnenglishwithme","77260","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learningmadefun","75588","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learningonline","74465","1100","920","620","760","1300","1300","1100","620","1300","1300","1100","920","1100","20","0.85","21"
"#learnjapaneseonline","74440","50","90","50","60","40","40","40","40","40","40","30","40","60","-33","2.13","49"
"#learngermanonline","74225","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learntoinvest","73924","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnquran","71535","920","620","760","920","760","920","760","920","920","760","1700","1300","920","48","1.16","34"
"#learnvocabulary","70676","60","60","60","50","60","60","90","50","90","50","50","40","60","0","0.31","28"
"#learntodive","70169","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnenglishnow","70061","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnastrology","69905","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learningthroughnature","68343","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnkoreanlanguage","66994","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#elearningdevelopment","66654","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnfromit","63119","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learntoshootcars","62452","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learntomeditate","62134","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnfromthepast","61478","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnpiano","59222","920","920","920","920","760","760","920","920","920","760","920","920","920","0","2.19","52"
"#learntosing","57675","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnenglishwithus","57165","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learntotradestocks","56892","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learntosail","55106","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learningtosew","54949","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learntocrochet","54665","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnerspermit","53186","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learndaily","49444","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnfromnature","49128","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learntoknit","48921","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnthai","48741","90","90","120","90","50","60","90","60","90","120","120","90","140","56","0.95","35"
"#learntoletgo","48200","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learntobake","47271","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnskills","46344","330","270","140","220","410","410","330","270","330","410","410","330","410","52","1.18","4"
"#learnhow","45975","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnatmyskill","45412","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#elearningtips","44914","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learningrussian","44880","920","760","760","760","760","760","920","920","920","920","920","920","920","21","3.11","43"
"#learnenglishfaster","44439","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnhacking","44153","330","330","410","410","410","330","330","270","330","330","270","270","330","0","0","1"
"#learnstockmarket","43806","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnanewlanguage","43611","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnux","42887","30","10","10","10","10","30","10","10","30","30","30","50","40","300","0","46"
"#learnwithlp","42614","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learndance","42253","620","620","620","620","620","500","620","620","620","500","500","500","620","0","0.96","18"
"#learningarabic","42251","10","10","10","10","10","10","30","10","10","10","10","10","10","0","0","21"
"#mlearning","41903","120","120","50","60","90","90","120","140","180","140","90","120","140","17","3.97","4"
"#learnt","41160","410","500","410","330","500","500","410","410","500","410","410","330","410","-18","0","0"
"#learnspanishfree","41110","60","50","60","90","50","40","60","120","90","50","50","50","90","80","0.59","41"
"#clearnail","41018","60","120","90","60","90","60","50","60","60","60","50","60","60","-50","0.18","93"
"#learndrawing","40676","920","1100","1100","760","760","920","1100","920","1100","920","920","920","760","-31","0.61","11"
"#learngrammar","40054","90","120","90","120","120","140","120","90","120","90","90","60","90","-25","1.21","28"
"#learnaskill","39490","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learndutch","38780","180","180","220","220","220","180","180","140","180","180","220","180","270","50","1.54","39"
"#learnaffiliatemarketing","38260","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnkoreanwords","38225","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#clearnight","37110","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnpolish","36776","60","60","60","40","40","60","90","60","60","60","120","50","60","0","0.44","35"
"#learnpython","35866","1700","2100","1700","1700","1700","1700","1300","1700","1700","1300","1300","1300","1700","-19","1.27","41"
"#learntosayno","35629","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learntorun","34989","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learncrypto","34829","140","60","50","60","410","330","60","40","220","120","220","90","60","0","36.43","35"
